court_slug,district
cacd,Central District of California
ilcd,Central District of Illinois
akd,District of Alaska
azd,District of Arizona
cod,District of Colorado
ctd,District of Connecticut
ded,District of Delaware
dcd,District of District of Columbia
gud,District of Guam
hid,District of Hawaii
idd,District of Idaho
ksd,District of Kansas
med,District of Maine
mdd,District of Maryland
mad,District of Massachusetts
mnd,District of Minnesota
mtd,District of Montana
ned,District of Nebraska
nvd,District of Nevada
nhd,District of New Hampshire
njd,District of New Jersey
nmd,District of New Mexico
ndd,District of North Dakota
nmid,District of Northern Marianas Islands
ord,District of Oregon
prd,District of Puerto Rico
rid,District of Rhode Island
scd,District of South Carolina
sdd,District of South Dakota
vid,District of US Virgin Islands
utd,District of Utah
vtd,District of Vermont
wyd,District of Wyoming
ared,Eastern District of Arkansas
caed,Eastern District of California
kyed,Eastern District of Kentucky
laed,Eastern District of Louisiana
mied,Eastern District of Michigan
moed,Eastern District of Missouri
nyed,Eastern District of New York
nced,Eastern District of North Carolina
oked,Eastern District of Oklahoma
paed,Eastern District of Pennsylvania
tned,Eastern District of Tennessee
txed,Eastern District of Texas
vaed,Eastern District of Virginia
waed,Eastern District of Washington
wied,Eastern District of Wisconsin
almd,Middle District of Alabama
flmd,Middle District of Florida
gamd,Middle District of Georgia
lamd,Middle District of Louisiana
ncmd,Middle District of North Carolina
pamd,Middle District of Pennsylvania
tnmd,Middle District of Tennessee
alnd,Northern District of Alabama
cand,Northern District of California
flnd,Northern District of Florida
gand,Northern District of Georgia
ilnd,Northern District of Illinois
innd,Northern District of Indiana
iand,Northern District of Iowa
msnd,Northern District of Mississippi
nynd,Northern District of New York
ohnd,Northern District of Ohio
oknd,Northern District of Oklahoma
txnd,Northern District of Texas
wvnd,Northern District of West Virginia
alsd,Southern District of Alabama
casd,Southern District of California
flsd,Southern District of Florida
gasd,Southern District of Georgia
ilsd,Southern District of Illinois
insd,Southern District of Indiana
iasd,Southern District of Iowa
mssd,Southern District of Mississippi
nysd,Southern District of New York
ohsd,Southern District of Ohio
txsd,Southern District of Texas
wvsd,Southern District of West Virginia
arwd,Western District of Arkansas
kywd,Western District of Kentucky
lawd,Western District of Louisiana
miwd,Western District of Michigan
mowd,Western District of Missouri
nywd,Western District of New York
ncwd,Western District of North Carolina
okwd,Western District of Oklahoma
pawd,Western District of Pennsylvania
tnwd,Western District of Tennessee
txwd,Western District of Texas
vawd,Western District of Virginia
wawd,Western District of Washington
wiwd,Western District of Wisconsin
